indiv_id,F_income90,F_attn_sm_college,income00,attn_sm_college,age,male,female,white,black,other,married,num_siblings,birth_weight
5537051,3962,1,2157,1,21,1,0,0,1,0,1,3,119
5537046,23813,1,12600,1,24,0,1,0,1,0,0,1,114
5549036,24713,0,30926,1,29,1,0,0,1,0,0,1,116
5553033,88554,1,3775,1,21,0,1,0,1,0,0,1,119
5559037,461,0,16609,1,26,1,0,0,1,0,0,4,124
5565036,32595,0,12600,1,22,0,1,0,1,0,0,2,109
5570036,36119,0,37440,1,38,1,0,0,1,0,0,2,88
5570043,50734,0,12942,1,32,1,0,0,1,0,0,2,143
5573044,39667,0,43141,0,24,1,0,0,1,0,0,4,108
5608030,57030,1,32344,1,31,1,0,0,1,0,0,2,104
5610035,1295,0,15463,1,21,0,1,0,1,0,0,6,999
5612040,27673,0,8197,1,25,1,0,0,1,0,0,2,132
5612043,33649,0,29029,1,23,1,0,0,1,0,0,2,106
5613037,43585,0,12600,0,36,0,1,0,1,0,0,3,88
5613049,34218,0,10095,0,22,1,0,0,1,0,0,1,49
5621037,27673,1,14400,0,20,1,0,0,1,0,0,1,124
5621033,28515,0,12600,1,26,0,1,0,1,0,0,0,998
5626034,34218,0,32356,1,30,1,0,0,1,0,0,1,131
5643031,79841,1,14934,0,26,1,0,0,1,0,0,1,998
5663051,11069,0,19927,0,25,1,0,0,1,0,0,3,115
5678040,34218,0,10365,1,26,0,1,0,1,0,0,4,998
5680034,41207,0,11699,1,25,0,1,0,1,0,0,2,149
5683193,4953,1,4000,1,19,1,0,0,1,0,0,2,999
5689189,44849,0,22000,0,32,1,0,0,1,0,0,4,998
5706040,77485,0,28864,1,24,0,1,0,0,1,0,1,124
5714179,2179,0,2000,0,16,0,1,0,1,0,0,1,998
5715035,63396,1,11340,1,26,0,1,0,1,0,0,4,120
5750183,50,0,11699,0,18,0,1,0,1,0,0,8,998
5770030,63225,0,12600,1,28,0,1,0,1,0,0,4,998
5774033,51656,1,20617,1,24,0,1,0,1,0,0,1,85
5780031,17830,0,15000,1,28,1,0,0,1,0,0,0,105
5812051,30608,0,18349,1,29,1,0,0,1,0,0,1,134
5821174,63396,1,14432,0,31,1,0,0,1,0,0,1,998
5821031,55346,1,15463,1,19,1,0,0,1,0,0,1,113
5834034,10729,0,51543,1,23,0,1,0,1,0,0,2,998
5898037,71555,0,15463,1,26,1,0,0,1,0,0,2,998
5921033,44277,1,7216,0,20,0,1,0,1,0,0,5,128
5922206,1107,1,17600,1,25,1,0,0,1,0,0,2,999
5922043,3690,1,11340,0,24,1,0,0,1,0,0,5,103
5925044,8302,0,1941,1,19,1,0,0,1,0,0,1,120
5925043,57980,0,15000,0,19,0,1,0,1,0,0,4,141
5926039,119195,0,125,0,16,1,0,0,1,0,0,2,157
5926037,73756,0,11699,0,21,0,1,0,1,0,0,1,120
5926034,76039,0,30360,1,25,0,1,0,1,0,0,2,145
5938037,9906,1,2577,0,17,1,0,0,1,0,0,0,131
5959186,5535,0,11699,0,21,0,1,0,1,0,0,0,998
5960046,53490,1,6471,1,24,0,1,0,1,0,0,2,116
5960056,5150,0,2880,0,16,1,0,0,1,0,0,0,102
5960033,87262,0,67000,0,46,0,1,0,1,0,0,4,88
5968182,14021,1,28000,0,23,0,1,0,1,0,0,1,999
5977036,47967,0,8000,0,20,0,1,0,1,0,0,0,88
5987193,738,1,17600,1,21,1,0,0,1,0,0,1,999
5991034,82158,0,40000,1,22,0,1,0,1,0,0,3,71
6026038,53094,1,4853,0,20,0,1,0,1,0,0,1,154
6026037,24713,0,11699,1,23,0,1,0,1,0,0,4,114
6030038,44277,0,26963,1,26,1,0,0,1,0,0,0,71
6030184,7925,0,25772,1,23,1,0,0,1,0,0,5,998
6040037,57453,0,14934,0,22,0,1,0,0,1,0,2,95
6051037,70105,1,40000,0,26,1,0,0,0,1,0,1,113
6077030,52847,0,35050,1,21,1,0,0,1,0,0,1,126
6086031,23061,0,12600,1,28,0,1,0,1,0,0,0,103
6103043,63396,0,29741,1,22,1,0,0,1,0,0,2,130
6108032,17386,0,17305,0,31,1,0,0,1,0,0,0,998
6121205,11406,0,1200,0,18,1,0,0,1,0,0,7,103
6121208,7970,0,37800,0,21,1,0,0,0,1,0,1,998
6127038,88554,0,10785,1,26,0,1,0,1,0,0,1,101
6157031,47525,0,32163,1,25,0,1,0,1,0,0,1,125
6159040,37539,0,34513,1,26,0,1,0,1,0,0,3,66
6159032,24706,0,11699,1,36,1,0,0,1,0,0,2,88
6165180,1807,0,12600,1,24,1,0,0,1,0,0,6,998
6171199,134717,1,5932,0,21,0,1,0,1,0,0,1,998
6179042,74138,1,29120,0,21,0,1,0,1,0,0,5,160
6187036,121384,0,12600,0,34,1,0,0,1,0,0,1,88
6191033,44120,1,3600,1,21,1,0,0,1,0,0,1,112
6200030,24170,0,43141,0,49,0,1,0,1,0,0,11,88
6200034,77485,1,64711,1,32,0,1,0,1,0,0,2,107
6200041,41135,1,15099,0,23,0,1,0,1,0,0,1,120
6203187,8302,0,37748,0,25,1,0,0,1,0,0,5,998
6204030,46122,0,28864,1,34,0,1,0,1,0,0,1,998
6205009,25828,0,25772,0,55,1,0,0,1,0,0,11,88
6205042,9224,1,25772,0,23,1,0,0,0,1,0,10,115
6228037,47547,0,11699,1,25,0,1,0,1,0,0,5,124
6233182,7590,1,16178,1,25,1,0,0,1,0,1,1,998
6233037,55256,0,12600,0,26,0,1,0,1,0,0,0,103
6262036,77485,0,12600,1,30,1,0,0,1,0,0,1,121
6262039,23983,1,22880,0,19,1,0,0,1,0,0,2,998
6287006,51113,0,27833,0,60,0,1,0,1,0,0,5,88
6305034,25378,0,16178,0,33,1,0,0,1,0,0,1,106
6350033,97444,1,44848,1,31,1,0,0,1,0,1,1,132
6361033,53228,1,14934,0,26,0,1,1,0,0,0,2,145
6365051,34218,0,14934,0,27,1,0,0,1,0,0,0,119
6413038,64570,0,28042,1,30,1,0,0,1,0,0,1,103
6414032,922,0,12370,0,18,0,1,0,1,0,0,1,100
6434031,16912,1,11340,1,20,1,0,0,1,0,0,1,106
6498188,57030,0,15463,0,36,1,0,0,1,0,0,1,998
6541032,83643,0,2157,1,20,0,1,0,1,0,0,1,115
6541033,76039,1,11699,0,21,1,0,0,1,0,0,1,154
6546036,57191,1,8628,1,26,1,0,0,0,1,0,2,103
6553030,29702,1,31000,0,25,1,0,0,1,0,0,0,130
